,Date-Monthly,precip,mintemp,maxtemp
0,Jan-00,63.140594,12.669421,24.489006
1,Feb-00,80.39774,13.006293,25.044987
2,Mar-00,157.68365,13.39391,24.09724
3,Apr-00,158.9866,13.332248,24.403776
4,May-00,128.1772,13.606482,24.677448
5,Jun-00,13.577153,12.057124,24.024418
6,Jul-00,12.254918,12.887041,25.071453
7,Aug-00,27.416386,13.382208,26.396698
8,Sep-00,74.99968,12.559395,24.503614
9,Oct-00,169.41077,12.6692,24.550627
10,Nov-00,184.21959,13.335031,24.064735
11,Dec-00,141.50008,12.365414,23.230585
12,Jan-01,180.01947,14.130705,24.481888
13,Feb-01,97.66809,14.450911,25.302105
14,Mar-01,195.59515,14.030195,24.533525
15,Apr-01,116.30049,13.643533,24.345442
16,May-01,97.81838,14.092767,23.607832
17,Jun-01,8.591354,12.325527,23.70237
18,Jul-01,134.91331,12.741207,24.946453
19,Aug-01,83.54044,13.288806,25.812843
20,Sep-01,179.64339,13.204013,25.359518
21,Oct-01,172.46857,13.538818,24.882225
22,Nov-01,232.59949,13.126697,24.420118
23,Dec-01,117.04927,12.31958,23.975203
24,Jan-02,160.37265,13.994421,24.315222
25,Feb-02,134.16136,14.185459,25.49082
26,Mar-02,129.28181,14.120647,24.433525
27,Apr-02,151.8989,14.386415,24.113325
28,May-02,173.12859,13.642767,23.378666
29,Jun-02,5.8257885,12.47136,24.835703
30,Jul-02,1.5219437,13.042422,26.001835
31,Aug-02,19.625074,13.52509,26.094961
32,Sep-02,50.16735,13.549846,26.305351
33,Oct-02,136.8871,13.4662485,24.303057
34,Nov-02,170.09392,13.568364,23.99807
35,Dec-02,148.09946,13.683296,24.384752
36,Jan-03,90.8039,13.727754,24.866438
37,Feb-03,94.12388,14.093793,26.075369
38,Mar-03,148.37117,14.184362,25.28474
39,Apr-03,200.16615,14.143533,24.32461
40,May-03,188.65425,14.451099,23.632832
41,Jun-03,14.647957,13.222576,24.388134
42,Jul-03,9.692232,12.832874,25.42857
43,Aug-03,82.65347,12.545923,25.612843
44,Sep-03,186.7403,13.440297,25.405352
45,Oct-03,212.24547,13.195936,24.69646
46,Nov-03,118.89857,12.8791275,24.56005
47,Dec-03,89.09124,13.591629,25.60142
48,Jan-04,114.51439,14.076539,25.458105
49,Feb-04,71.784164,14.175911,24.936653
50,Mar-04,64.44817,14.087314,24.390642
51,Apr-04,88.01929,13.507248,23.034159
52,May-04,43.09391,13.829051,23.62033
53,Jun-04,8.454592,12.469624,24.600634
54,Jul-04,10.09162,12.823325,26.082739
55,Aug-04,63.938232,13.128041,25.897913
56,Sep-04,133.28403,12.840298,24.751183
57,Oct-04,103.758965,13.003749,24.204273
58,Nov-04,132.22537,13.055863,23.374285
59,Dec-04,119.88756,12.91958,23.64187
60,Jan-05,147.26918,12.766469,23.650986
61,Feb-05,89.01035,14.177126,25.825369
62,Mar-05,162.54414,14.221862,24.836475
63,Apr-05,68.88725,14.317317,24.144228
64,May-05,107.80325,13.271934,22.653664
65,Jun-05,15.108395,12.935076,24.211918
66,Jul-05,1.7645663,11.707873,25.30062
67,Aug-05,86.4313,12.782208,25.252079
68,Sep-05,168.65302,13.3748455,25.085733
69,Oct-05,131.58015,12.648367,24.682224
70,Nov-05,73.23994,12.947531,24.699286
71,Dec-05,58.786476,13.894581,25.947252
72,Jan-06,73.84081,13.630705,25.439007
73,Feb-06,124.75035,13.993793,25.67832
74,Mar-06,141.45241,13.885577,24.346024
75,Apr-06,171.01273,13.743533,23.316277
76,May-06,196.28334,13.181482,22.04238
77,Jun-06,11.12525,12.014242,24.224419
78,Jul-06,38.7868,13.087041,25.682737
79,Aug-06,50.204056,13.345923,25.806246
80,Sep-06,93.3475,11.7277975,24.826183
81,Oct-06,135.50943,13.395936,25.629795
82,Nov-06,272.4127,13.387461,23.571335
83,Dec-06,165.96164,12.867149,22.687704
84,Jan-07,89.229004,13.837302,24.564701
85,Feb-07,166.6125,13.750911,24.854536
86,Mar-07,73.032524,13.488529,24.946026
87,Apr-07,161.60074,13.246484,24.018013
88,May-07,177.16956,14.174885,23.944115
89,Jun-07,51.163094,12.289243,23.14525
90,Jul-07,183.17294,12.073325,24.257738
91,Aug-07,55.699497,12.545923,25.106247
92,Sep-07,163.58342,12.76113,25.08035
93,Oct-07,138.33517,12.7692,24.839342
94,Nov-07,168.10155,12.23503,23.528452
95,Dec-07,117.95065,13.3558655,24.557322
96,Jan-08,90.577065,13.940254,25.258104
97,Feb-08,126.82057,13.560459,24.890821
98,Mar-08,142.29355,13.639744,23.900192
99,Apr-08,185.34352,12.786414,23.303776
100,May-08,83.2611,12.827315,23.20783
101,Jun-08,48.063076,12.235076,23.511919
102,Jul-08,14.016643,12.56204,25.736904
103,Aug-08,21.613008,12.966757,25.82708
104,Sep-08,141.83406,13.68318,25.891115
105,Oct-08,125.320114,12.559651,23.903057
106,Nov-08,163.47018,12.819579,24.003452
107,Dec-08,102.027916,12.41958,23.675203
108,Jan-09,88.73567,14.051538,25.269388
109,Feb-09,167.96014,13.496744,24.790821
110,Mar-09,144.01366,14.030195,24.733524
111,Apr-09,197.75569,13.598914,23.579992
112,May-09,130.85982,14.092767,23.444115
113,Jun-09,49.63298,12.779694,24.446987
114,Jul-09,26.368807,13.307874,26.00357
115,Aug-09,53.319138,13.445924,26.296698
116,Sep-09,133.39532,13.449846,25.959518
117,Oct-09,151.7,13.360867,24.440557
118,Nov-09,158.31516,13.092149,24.09807
119,Dec-09,112.46841,13.810032,25.175203
120,Jan-10,139.41298,13.327754,24.736055
121,Feb-10,318.47662,13.0146265,24.108702
122,Mar-10,154.93356,14.120647,24.633526
123,Apr-10,183.09883,13.764366,24.545443
124,May-10,154.13672,13.781482,23.507832
125,Jun-10,55.14947,12.877957,24.445251
126,Jul-10,28.02573,12.439471,25.43517
127,Aug-10,54.492935,12.803041,25.996698
128,Sep-10,127.62316,13.049846,25.569067
129,Oct-10,144.42522,13.384651,25.21851
130,Nov-10,154.76213,13.210031,24.361786
131,Dec-10,102.71337,13.208296,25.218086
132,Jan-11,81.40441,13.740254,24.958105
133,Feb-11,123.29203,13.596745,24.811653
134,Mar-11,147.11516,13.887314,24.390642
135,Apr-11,184.95705,13.532248,24.32461
136,May-11,131.29787,13.924364,24.041164
137,Jun-11,52.729332,12.668409,24.378584
138,Jul-11,57.54975,12.495374,25.19107
139,Aug-11,66.306305,13.236375,24.706245
140,Sep-11,228.02066,13.204013,24.75778
141,Oct-11,149.31409,11.869201,23.44889
142,Nov-11,174.47563,11.946316,22.428452
143,Dec-11,115.23811,12.210032,23.175203
144,Jan-12,72.3692,12.259872,24.268173
145,Feb-12,110.89719,13.471744,25.419987
146,Mar-12,129.97485,13.44148,24.523977
147,Apr-12,199.91742,12.9501295,23.277039
148,May-12,128.07938,13.187385,22.723282
149,Jun-12,67.031555,12.722576,23.935703
150,Jul-12,26.368807,12.395373,25.133953
151,Aug-12,59.510567,13.40009,25.660414
152,Sep-12,124.61435,12.971894,25.227398
153,Oct-12,142.2248,13.602533,24.793509
154,Nov-12,166.66568,13.246315,23.918903
155,Dec-12,111.339935,12.29458,23.450203
156,Jan-13,86.32635,13.918205,25.136055
157,Feb-13,112.80742,13.262196,24.846724
158,Mar-13,156.64793,13.884362,24.133526
159,Apr-13,183.91232,12.418532,21.61211
160,May-13,128.34741,13.271934,23.541164
161,Jun-13,35.911247,11.452957,23.824417
162,Jul-13,26.368807,12.520373,26.149405
163,Aug-13,60.982834,12.657208,25.260412
164,Sep-13,174.23004,13.704013,25.648232
165,Oct-13,132.66826,13.902534,25.372675
166,Nov-13,177.77054,13.114197,24.640951
167,Dec-13,111.57237,13.098747,23.763918
168,Jan-14,90.71207,13.302754,23.78727
169,Feb-14,118.95785,13.730078,24.144987
170,Mar-14,134.16267,13.484363,24.287691
171,Apr-14,187.3455,12.418532,22.92461
172,May-14,139.78163,14.087385,23.502449
173,Jun-14,40.638664,13.701742,24.345251
174,Jul-14,31.624157,13.07454,25.158953
175,Aug-14,68.28977,12.70009,23.336628
176,Sep-14,154.34766,13.656444,25.321497
177,Oct-14,143.86446,12.369201,22.94889
178,Nov-14,165.19485,13.246315,23.718903
179,Dec-14,110.98806,12.340414,23.496037
180,Jan-15,79.645386,13.002754,23.920605
181,Feb-15,114.18844,12.928862,24.832487
182,Mar-15,130.81718,13.451029,23.95436
183,Apr-15,190.50743,12.653081,21.900824
184,May-15,139.78163,13.192767,22.26495
185,Jun-15,60.110447,12.932124,23.208967
186,Jul-15,27.81399,12.316207,24.264336
187,Aug-15,56.06805,13.057208,25.385414
188,Sep-15,144.52507,13.513561,25.45778
189,Oct-15,168.9638,14.227533,24.428059
190,Nov-15,189.33244,12.823746,22.517168
191,Dec-15,120.30501,13.252913,24.072252
192,Jan-16,99.02304,14.440254,24.39977
193,Feb-16,120.80266,14.084244,25.07832
194,Mar-16,145.25575,14.005196,24.841858
195,Apr-16,195.05327,13.643533,23.460894
196,May-16,139.78163,13.308218,22.723282
197,Jun-16,43.122795,12.76841,23.924417
198,Jul-16,53.436676,12.795374,25.358953
199,Aug-16,70.84392,12.578041,25.206245
200,Sep-16,133.28403,12.549846,24.494066
201,Oct-16,136.78886,12.959651,24.61851
202,Nov-16,165.19485,13.3779125,23.9505
203,Dec-16,110.98806,13.662463,24.818085
204,Jan-17,78.195465,12.856921,25.133104
205,Feb-17,121.14295,13.105078,24.532486
206,Mar-17,143.59216,13.430195,23.887691
207,Apr-17,103.52963,13.564365,24.303776
208,May-17,139.78163,14.162385,23.57745
209,Jun-17,50.82584,13.533861,24.010702
210,Jul-17,33.443092,12.995374,24.50062
211,Aug-17,56.35193,14.190541,25.306246
212,Sep-17,176.34874,13.704013,24.969067
213,Oct-17,148.16003,14.417985,24.818508
214,Nov-17,166.44986,12.598745,23.171333
215,Dec-17,98.89947,12.29458,24.02937
216,Jan-18,82.88445,13.6753235,23.723555
217,Feb-18,125.13676,12.950911,24.914604
218,Mar-18,144.42397,12.84148,22.765644
219,Apr-18,198.97902,13.007248,22.734158
220,May-18,139.78163,13.219503,22.634567
221,Jun-18,43.122795,12.332125,23.588133
222,Jul-18,31.624157,12.695374,24.779787
223,Aug-18,63.938232,12.730472,24.37951
224,Sep-18,65.670364,12.313561,25.136948
225,Oct-18,143.86446,13.317986,24.297676
226,Nov-18,99.33335,13.457079,24.029667
227,Dec-18,149.4187,13.598747,24.275204
