Date-Monthly,"Democratic Republic of the Congo, Retail, Bukavu, Beans, USD/kg" Commodity Code: 070820 ,"Democratic Republic of the Congo, Retail, Goma, Beans, USD/kg" Commodity Code: 070820 ,"Democratic Republic of the Congo, Retail, Lubumbashi, Beans, USD/kg" Commodity Code: 070820 
Jan-09,0.81,0.63,
Feb-09,0.82,0.57,
Mar-09,0.81,0.59,
Apr-09,0.83,0.60,
May-09,0.87,0.58,
Jun-09,0.82,0.60,
Jul-09,0.74,0.58,
Aug-09,0.71,0.57,
Sep-09,0.74,0.55,
Oct-09,0.78,0.63,
Nov-09,0.86,0.64,
Dec-09,0.92,0.63,
Jan-10,0.85,0.64,1.79
Feb-10,0.90,0.61,1.83
Mar-10,0.94,0.63,1.99
Apr-10,0.97,0.65,1.82
May-10,0.83,0.64,1.76
Jun-10,0.81,0.63,1.59
Jul-10,0.80,0.59,1.54
Aug-10,0.81,0.53,1.54
Sep-10,0.80,0.53,1.81
Oct-10,0.81,0.54,1.64
Nov-10,0.87,0.67,1.74
Dec-10,0.88,0.62,1.84
Jan-11,0.82,0.65,1.89
Feb-11,0.76,0.58,2.04
Mar-11,0.75,0.59,1.96
Apr-11,0.80,0.65,1.80
May-11,0.85,0.67,1.75
Jun-11,0.81,0.64,1.80
Jul-11,0.81,0.62,1.75
Aug-11,0.85,0.61,1.91
Sep-11,0.84,0.60,1.80
Oct-11,0.83,0.60,1.86
Nov-11,0.84,0.66,1.96
Dec-11,0.88,0.69,2.01
Jan-12,0.83,0.68,2.06
Feb-12,0.85,0.67,1.85
Mar-12,0.85,0.69,1.88
Apr-12,0.94,0.71,1.72
May-12,1.00,0.74,1.83
Jun-12,0.93,0.71,1.81
Jul-12,0.89,0.70,1.91
Aug-12,0.91,0.72,1.87
Sep-12,0.95,0.72,1.86
Oct-12,0.98,0.81,1.86
Nov-12,1.04,0.81,1.93
Dec-12,1.02,0.69,2.18
Jan-13,0.87,0.62,2.28
Feb-13,0.85,0.62,2.32
Mar-13,0.85,0.67,2.15
Apr-13,0.94,0.76,2.01
May-13,0.94,0.78,2.12
Jun-13,0.90,0.72,2.18
Jul-13,0.88,0.66,2.07
Aug-13,0.89,0.68,2.09
Sep-13,0.91,0.80,2.05
Oct-13,1.00,0.85,2.16
Nov-13,1.05,0.81,1.96
Dec-13,1.00,0.51,2.31
Jan-14,0.84,0.52,2.28
Feb-14,0.84,0.55,2.37
Mar-14,0.91,0.64,2.38
Apr-14,1.00,0.73,2.15
May-14,0.96,,2.21
Jun-14,0.93,0.60,2.09
Jul-14,0.94,0.62,2.06
Aug-14,0.97,0.70,2.14
Sep-14,0.97,0.72,2.11
Oct-14,0.98,0.73,2.04
Nov-14,0.98,0.65,2.12
Dec-14,0.96,0.58,2.20
Jan-15,0.90,0.62,2.15
Feb-15,0.89,0.69,2.00
Mar-15,0.93,0.70,2.04
Apr-15,0.96,0.73,2.14
May-15,0.99,0.70,2.19
Jun-15,0.98,0.69,2.26
Jul-15,0.95,0.67,2.26
Aug-15,0.96,0.69,2.20
Sep-15,0.90,0.69,2.02
Oct-15,0.93,0.63,2.02
Nov-15,0.93,0.66,2.01
Dec-15,0.94,0.65,2.13
Jan-16,0.89,0.54,2.24
Feb-16,0.93,0.52,2.22
Mar-16,0.90,0.58,2.13
Apr-16,0.93,0.65,1.89
May-16,0.90,0.69,1.96
Jun-16,0.90,0.70,1.92
Jul-16,0.88,0.57,1.78
Aug-16,0.92,0.56,1.85
Sep-16,0.85,0.56,1.81
Oct-16,0.94,0.59,1.76
Nov-16,,0.58,1.60
Dec-16,0.83,0.49,1.52
Jan-17,0.80,0.53,1.46
Feb-17,0.76,0.54,1.59
Mar-17,0.80,0.54,1.60
Apr-17,0.67,0.56,1.36
May-17,0.68,0.52,1.23
Jun-17,0.61,0.48,
Jul-17,0.56,0.44,
Aug-17,,0.56,
Sep-17,0.74,0.59,1.14
Oct-17,,0.62,1.15
Nov-17,0.76,0.55,1.34
Dec-17,,0.52,
Jan-18,0.59,0.48,1.41
Feb-18,0.74,0.48,
Mar-18,0.66,0.50,1.44
Apr-18,0.74,0.49,1.44
May-18,,,1.46
Jun-18,,0.48,
Jul-18,,0.50,
Aug-18,,0.45,1.21
Sep-18,0.72,0.49,1.22
Oct-18,0.72,0.48,1.23
Nov-18,0.74,0.49,1.27
Dec-18,0.82,0.45,1.30
Jan-19,0.82,0.45,
Feb-19,0.68,0.45,
Mar-19,0.68,0.49,1.32
Apr-19,0.75,0.51,
May-19,0.75,0.53,
Jun-19,0.73,0.50,
Jul-19,0.72,0.51,
Aug-19,0.91,0.53,
Sep-19,1.33,0.55,
Oct-19,1.42,0.63,1.30
Nov-19,1.42,0.60,1.32
Dec-19,,0.61,1.28
Jan-20,,0.64,1.72
Feb-20,,0.60,1.81
Mar-20,1.26,0.80,