Date-Monthly,"Kenya, Wholesale, Mombasa, Beans, USD/kg" Commodity Code: 71331 ,"Kenya, Wholesale, Nakuru, Beans, USD/kg" Commodity Code: 71331 
Jan-06,0.47,
Feb-06,0.55,
Mar-06,0.62,
Apr-06,0.61,
May-06,0.55,
Jun-06,0.38,
Jul-06,0.41,
Aug-06,0.42,
Sep-06,0.45,
Oct-06,0.45,
Nov-06,0.42,
Dec-06,0.40,
Jan-07,0.47,
Feb-07,0.48,
Mar-07,0.48,
Apr-07,0.49,
May-07,0.51,
Jun-07,0.53,
Jul-07,0.54,
Aug-07,0.55,
Sep-07,0.58,
Oct-07,0.56,
Nov-07,0.56,
Dec-07,0.61,
Jan-08,0.70,0.63
Feb-08,0.69,0.62
Mar-08,0.77,0.71
Apr-08,0.80,0.93
May-08,0.80,0.95
Jun-08,0.76,0.88
Jul-08,0.81,0.74
Aug-08,0.83,0.68
Sep-08,0.82,0.71
Oct-08,0.78,0.70
Nov-08,0.60,0.68
Dec-08,0.55,0.67
Jan-09,0.61,0.63
Feb-09,0.62,0.65
Mar-09,0.62,0.56
Apr-09,0.70,0.67
May-09,0.68,0.63
Jun-09,0.59,0.60
Jul-09,0.60,0.56
Aug-09,0.67,0.61
Sep-09,0.73,0.72
Oct-09,0.77,0.72
Nov-09,0.76,0.78
Dec-09,0.65,0.73
Jan-10,0.63,0.68
Feb-10,0.62,0.64
Mar-10,0.64,0.63
Apr-10,0.64,0.64
May-10,0.64,0.65
Jun-10,0.56,0.59
Jul-10,0.53,0.51
Aug-10,0.59,0.48
Sep-10,0.60,
Oct-10,0.60,
Nov-10,0.59,0.42
Dec-10,0.60,0.59
Jan-11,0.59,0.60
Feb-11,0.59,0.60
Mar-11,0.63,0.63
Apr-11,0.80,0.68
May-11,0.81,0.74
Jun-11,0.77,0.82
Jul-11,0.67,0.81
Aug-11,0.73,0.57
Sep-11,0.65,0.59
Oct-11,0.58,0.55
Nov-11,0.60,0.55
Dec-11,0.65,0.62
Jan-12,0.72,0.67
Feb-12,,0.69
Mar-12,,0.69
Apr-12,,0.76
May-12,0.63,0.84
Jun-12,,0.76
Jul-12,,0.74
Aug-12,,0.73
Sep-12,,0.61
Oct-12,,0.67
Nov-12,,0.76
Dec-12,,0.76
Jan-13,,0.76
Feb-13,0.67,0.77
Mar-13,0.70,0.81
Apr-13,0.84,0.83
May-13,0.85,0.84
Jun-13,0.83,
Jul-13,0.72,0.71
Aug-13,0.69,0.67
Sep-13,0.69,0.79
Oct-13,0.78,0.79
Nov-13,0.82,0.74
Dec-13,0.81,
Jan-14,0.93,0.74
Feb-14,0.96,0.75
Mar-14,0.97,0.76
Apr-14,0.94,0.84
May-14,0.90,0.83
Jun-14,0.83,0.72
Jul-14,0.78,0.73
Aug-14,0.68,
Sep-14,0.68,0.75
Oct-14,0.70,0.67
Nov-14,0.70,
Dec-14,0.67,0.59
Jan-15,0.66,0.61
Feb-15,,0.60
Mar-15,,0.64
Apr-15,,0.69
May-15,,0.68
Jun-15,,0.65
Jul-15,,0.56
Aug-15,,0.48
Sep-15,,0.56
Oct-15,,
Nov-15,,
Dec-15,0.58,
Jan-16,0.57,
Feb-16,0.51,0.52
Mar-16,0.49,0.59
Apr-16,0.53,0.55
May-16,0.55,0.51
Jun-16,0.59,0.51
Jul-16,0.55,0.50
Aug-16,0.55,0.45
Sep-16,0.63,0.46
Oct-16,0.65,0.46
Nov-16,0.71,0.50
Dec-16,0.75,0.58
Jan-17,0.78,0.57
Feb-17,0.82,0.62
Mar-17,0.97,0.65
Apr-17,1.02,0.68
May-17,1.07,0.62
Jun-17,0.89,0.60
Jul-17,0.83,0.60
Aug-17,0.85,0.60
Sep-17,0.87,0.60
Oct-17,0.82,0.60
Nov-17,0.80,0.59
Dec-17,0.80,0.64
Jan-18,0.74,0.66
Feb-18,0.60,0.49
Mar-18,0.59,
Apr-18,0.64,0.50
May-18,0.65,0.54
Jun-18,0.51,0.52
Jul-18,0.45,0.48
Aug-18,0.42,0.45
Sep-18,0.47,0.45
Oct-18,0.42,0.52
Nov-18,0.46,0.49
Dec-18,0.49,0.49
Jan-19,0.52,0.52
Feb-19,0.50,
Mar-19,0.52,
Apr-19,0.64,0.63
May-19,0.87,0.54
Jun-19,0.86,
Jul-19,0.63,0.78
Aug-19,0.82,0.63
Sep-19,,0.56