Date-Monthly,"Rwanda, Wholesale, Kigali, Beans, USD/kg" Commodity Code: 71331 ,"Rwanda, Wholesale, Ruhengeri, Beans, USD/kg" Commodity Code: 71331 
Jan-00,0.31,
Feb-00,0.31,
Mar-00,0.30,
Apr-00,0.32,
May-00,0.34,
Jun-00,0.37,
Jul-00,0.36,
Aug-00,0.39,
Sep-00,0.39,
Oct-00,0.56,
Nov-00,0.56,
Dec-00,0.46,
Jan-01,0.34,
Feb-01,0.29,
Mar-01,0.32,
Apr-01,0.32,
May-01,0.31,
Jun-01,0.30,
Jul-01,0.34,
Aug-01,0.35,
Sep-01,,
Oct-01,,
Nov-01,,
Dec-01,,
Jan-02,,
Feb-02,,
Mar-02,,
Apr-02,,
May-02,,
Jun-02,,
Jul-02,,
Aug-02,,
Sep-02,,
Oct-02,,
Nov-02,0.22,
Dec-02,0.23,
Jan-03,0.22,
Feb-03,0.20,
Mar-03,0.20,
Apr-03,0.20,
May-03,0.17,
Jun-03,0.18,
Jul-03,0.21,
Aug-03,0.20,
Sep-03,0.22,
Oct-03,0.19,
Nov-03,0.24,
Dec-03,0.23,
Jan-04,0.18,
Feb-04,0.19,
Mar-04,0.20,
Apr-04,0.20,
May-04,0.21,
Jun-04,0.21,
Jul-04,,
Aug-04,,
Sep-04,,
Oct-04,,
Nov-04,,
Dec-04,,
Jan-05,,
Feb-05,,
Mar-05,,
Apr-05,,
May-05,,
Jun-05,,
Jul-05,,
Aug-05,,
Sep-05,0.30,
Oct-05,0.30,
Nov-05,0.30,
Dec-05,0.29,
Jan-06,0.31,
Feb-06,0.32,
Mar-06,0.34,
Apr-06,0.35,
May-06,0.39,
Jun-06,0.32,
Jul-06,0.28,
Aug-06,0.30,
Sep-06,0.30,
Oct-06,0.31,
Nov-06,0.37,
Dec-06,0.39,
Jan-07,0.37,
Feb-07,0.28,
Mar-07,0.32,
Apr-07,0.37,
May-07,0.40,
Jun-07,0.38,
Jul-07,0.37,
Aug-07,0.40,
Sep-07,0.50,
Oct-07,0.60,
Nov-07,0.61,
Dec-07,0.62,
Jan-08,0.53,
Feb-08,0.53,
Mar-08,0.61,
Apr-08,0.53,
May-08,0.48,
Jun-08,0.51,
Jul-08,0.57,
Aug-08,0.61,
Sep-08,0.62,
Oct-08,0.61,
Nov-08,0.56,
Dec-08,0.56,
Jan-09,0.42,
Feb-09,0.37,
Mar-09,0.35,
Apr-09,0.36,
May-09,0.35,
Jun-09,0.35,
Jul-09,0.36,
Aug-09,0.42,
Sep-09,0.61,
Oct-09,0.54,
Nov-09,0.53,
Dec-09,0.53,
Jan-10,,
Feb-10,0.46,
Mar-10,0.43,0.42
Apr-10,0.38,0.37
May-10,0.41,0.44
Jun-10,0.43,0.46
Jul-10,0.43,0.42
Aug-10,0.48,0.42
Sep-10,0.46,0.46
Oct-10,0.52,0.59
Nov-10,0.51,0.57
Dec-10,0.46,0.57
Jan-11,0.45,0.47
Feb-11,0.40,
Mar-11,0.45,0.40
Apr-11,0.45,0.44
May-11,0.46,0.53
Jun-11,0.53,0.63
Jul-11,0.51,0.63
Aug-11,0.47,0.63
Sep-11,0.49,0.61
Oct-11,0.49,0.60
Nov-11,0.48,0.55
Dec-11,0.48,0.53
Jan-12,0.45,0.50
Feb-12,0.47,0.45
Mar-12,0.48,0.50
Apr-12,0.49,0.52
May-12,0.46,0.48
Jun-12,0.47,0.50
Jul-12,0.52,
Aug-12,0.58,
Sep-12,0.48,
Oct-12,0.50,
Nov-12,0.50,
Dec-12,0.55,0.57
Jan-13,0.47,0.45
Feb-13,0.51,0.48
Mar-13,0.48,0.49
Apr-13,0.47,0.57
May-13,0.58,0.74
Jun-13,0.63,0.77
Jul-13,0.50,0.57
Aug-13,0.52,0.59
Sep-13,0.67,0.65
Oct-13,0.74,0.73
Nov-13,0.71,0.83
Dec-13,0.60,0.78
Jan-14,0.49,0.55
Feb-14,0.48,0.60
Mar-14,0.50,0.59
Apr-14,0.50,0.59
May-14,0.49,0.59
Jun-14,0.56,0.60
Jul-14,0.56,0.57
Aug-14,0.53,0.55
Sep-14,0.52,0.55
Oct-14,0.49,0.53
Nov-14,0.50,0.54
Dec-14,0.50,0.47
Jan-15,0.49,0.43
Feb-15,0.49,0.38
Mar-15,0.49,0.48
Apr-15,0.49,0.60
May-15,0.48,0.65
Jun-15,0.49,0.66
Jul-15,0.50,0.48
Aug-15,0.49,0.52
Sep-15,0.49,0.51
Oct-15,0.49,0.55
Nov-15,0.51,0.61
Dec-15,,
Jan-16,0.56,0.44
Feb-16,0.54,0.39
Mar-16,0.53,0.39
Apr-16,0.51,0.59
May-16,0.50,0.58
Jun-16,0.49,0.48
Jul-16,0.52,0.48
Aug-16,0.50,0.51
Sep-16,0.52,0.57
Oct-16,0.64,0.62
Nov-16,0.63,0.69
Dec-16,0.66,0.73
Jan-17,0.53,0.54
Feb-17,0.48,0.60
Mar-17,0.52,0.61
Apr-17,0.51,0.64
May-17,0.46,0.69
Jun-17,0.48,0.65
Jul-17,0.49,0.52
Aug-17,0.49,0.56
Sep-17,0.47,0.60
Oct-17,0.48,0.60
Nov-17,0.48,0.59
Dec-17,0.48,0.53
Jan-18,0.50,0.47
Feb-18,0.51,0.43
Mar-18,0.51,0.40
Apr-18,0.47,0.48
May-18,0.49,0.49
Jun-18,0.53,0.46
Jul-18,0.50,0.36
Aug-18,0.44,0.45
Sep-18,0.50,0.48
Oct-18,0.51,0.46
Nov-18,0.51,0.48
Dec-18,0.52,0.50
Jan-19,0.52,0.42
Feb-19,0.53,0.43
Mar-19,0.58,0.45
Apr-19,0.59,0.49
May-19,0.60,0.50
Jun-19,0.56,0.48
Jul-19,0.51,0.56
Aug-19,0.50,0.46
Sep-19,0.51,0.43
Oct-19,0.49,0.44
Nov-19,0.57,0.53
Dec-19,0.73,0.64
Jan-20,0.70,0.72
Feb-20,0.55,0.57
Mar-20,0.55,0.53
Apr-20,0.57,0.50
May-20,0.50,0.50
Jun-20,,