Date-Monthly,"United Republic of Tanzania, Wholesale, Dar es Salaam, Beans, USD/kg" Commodity Code: 71331 
Jan-06,0.49
Feb-06,0.52
Mar-06,0.55
Apr-06,0.56
May-06,0.44
Jun-06,0.39
Jul-06,0.39
Aug-06,0.37
Sep-06,0.36
Oct-06,0.43
Nov-06,0.42
Dec-06,0.42
Jan-07,0.41
Feb-07,0.51
Mar-07,0.54
Apr-07,0.53
May-07,0.50
Jun-07,0.51
Jul-07,0.50
Aug-07,0.50
Sep-07,0.49
Oct-07,0.54
Nov-07,0.67
Dec-07,0.67
Jan-08,0.67
Feb-08,0.69
Mar-08,0.73
Apr-08,0.75
May-08,0.76
Jun-08,0.76
Jul-08,0.79
Aug-08,0.77
Sep-08,0.78
Oct-08,0.76
Nov-08,0.81
Dec-08,0.80
Jan-09,0.87
Feb-09,0.85
Mar-09,0.79
Apr-09,0.73
May-09,0.87
Jun-09,0.83
Jul-09,0.75
Aug-09,0.80
Sep-09,0.80
Oct-09,0.85
Nov-09,0.94
Dec-09,0.91
Jan-10,0.94
Feb-10,0.92
Mar-10,
Apr-10,0.85
May-10,0.94
Jun-10,0.86
Jul-10,0.74
Aug-10,0.70
Sep-10,0.66
Oct-10,0.68
Nov-10,0.69
Dec-10,0.71
Jan-11,0.76
Feb-11,0.70
Mar-11,0.80
Apr-11,0.86
May-11,0.83
Jun-11,0.82
Jul-11,0.82
Aug-11,0.75
Sep-11,0.78
Oct-11,0.71
Nov-11,0.77
Dec-11,0.79
Jan-12,0.98
Feb-12,0.92
Mar-12,0.94
Apr-12,0.99
May-12,0.99
Jun-12,0.99
Jul-12,0.81
Aug-12,0.72
Sep-12,0.79
Oct-12,0.77
Nov-12,0.85
Dec-12,0.89
Jan-13,1.08
Feb-13,1.04
Mar-13,0.97
Apr-13,1.02
May-13,1.01
Jun-13,1.02
Jul-13,
Aug-13,
Sep-13,1.47
Oct-13,1.47
Nov-13,1.47
Dec-13,1.48
Jan-14,1.35
Feb-14,1.45
Mar-14,1.44
Apr-14,1.36
May-14,0.91
Jun-14,0.96
Jul-14,1.29
Aug-14,0.97
Sep-14,0.97
Oct-14,0.98
Nov-14,1.01
Dec-14,0.95
Jan-15,0.89
Feb-15,0.72
Mar-15,0.94
Apr-15,1.16
May-15,1.04
Jun-15,0.99
Jul-15,0.98
Aug-15,0.95
Sep-15,0.93
Oct-15,0.93
Nov-15,0.93
Dec-15,1.02
Jan-16,0.96
Feb-16,0.94
Mar-16,0.97
Apr-16,0.97
May-16,0.83
Jun-16,0.78
Jul-16,0.83
Aug-16,0.83
Sep-16,0.83
Oct-16,0.83
Nov-16,0.83
Dec-16,0.87
Jan-17,0.81
Feb-17,0.80
Mar-17,0.83
Apr-17,0.82
May-17,0.89
Jun-17,0.71
Jul-17,0.77
Aug-17,0.77
Sep-17,0.80
Oct-17,0.87
Nov-17,0.87
Dec-17,0.85
Jan-18,0.79
Feb-18,0.68
Mar-18,0.67
Apr-18,0.66
May-18,0.76
Jun-18,0.69
Jul-18,0.66
Aug-18,0.67
Sep-18,0.66
Oct-18,0.66
Nov-18,0.66
Dec-18,0.66
Jan-19,0.66
Feb-19,0.65
Mar-19,0.60
Apr-19,0.65
May-19,0.70
Jun-19,0.69
Jul-19,
Aug-19,0.70
Sep-19,0.74
Oct-19,0.74
Nov-19,0.86
Dec-19,0.87
Jan-20,0.87
Feb-20,0.87
Mar-20,0.87
Apr-20,0.86
May-20,0.86