Date-Monthly,"Uganda, Wholesale, Lira, Beans, USD/kg" Commodity Code: 71331 ,"Uganda, Wholesale, Kampala, Beans, USD/kg" Commodity Code: 71331 
Jan-08,,0.58
Feb-08,,0.59
Mar-08,,0.64
Apr-08,,0.71
May-08,,0.74
Jun-08,0.60,0.72
Jul-08,0.68,0.65
Aug-08,0.65,0.75
Sep-08,,0.83
Oct-08,,0.64
Nov-08,,0.50
Dec-08,,0.55
Jan-09,0.37,0.55
Feb-09,,0.56
Mar-09,,0.56
Apr-09,,0.55
May-09,,0.54
Jun-09,,0.54
Jul-09,,0.53
Aug-09,,0.56
Sep-09,,0.71
Oct-09,,0.73
Nov-09,,0.74
Dec-09,0.64,0.61
Jan-10,,0.55
Feb-10,,0.50
Mar-10,,0.56
Apr-10,,0.57
May-10,,0.58
Jun-10,,0.41
Jul-10,,0.43
Aug-10,,0.58
Sep-10,,0.65
Oct-10,,0.58
Nov-10,,0.56
Dec-10,,0.57
Jan-11,,0.55
Feb-11,,0.58
Mar-11,0.75,0.68
Apr-11,0.76,0.76
May-11,0.82,0.82
Jun-11,0.82,0.82
Jul-11,0.78,0.78
Aug-11,,0.76
Sep-11,0.56,0.59
Oct-11,0.47,0.59
Nov-11,0.50,0.62
Dec-11,0.58,0.55
Jan-12,0.62,0.61
Feb-12,0.66,0.65
Mar-12,0.64,0.67
Apr-12,0.76,0.89
May-12,0.72,1.08
Jun-12,0.90,0.72
Jul-12,0.65,0.58
Aug-12,0.54,0.63
Sep-12,0.60,0.71
Oct-12,0.59,0.60
Nov-12,0.50,0.53
Dec-12,0.42,0.54
Jan-13,0.52,0.62
Feb-13,0.55,0.62
Mar-13,0.60,0.66
Apr-13,0.67,0.73
May-13,0.69,0.69
Jun-13,0.55,0.56
Jul-13,0.61,0.63
Aug-13,0.69,0.72
Sep-13,0.80,0.88
Oct-13,0.72,0.75
Nov-13,0.50,0.57
Dec-13,0.53,0.59
Jan-14,0.65,0.73
Feb-14,0.67,0.69
Mar-14,0.78,0.81
Apr-14,0.85,0.82
May-14,0.82,0.76
Jun-14,0.64,0.55
Jul-14,0.57,0.52
Aug-14,0.62,0.65
Sep-14,0.57,0.57
Oct-14,0.53,0.53
Nov-14,0.47,0.44
Dec-14,0.50,0.52
Jan-15,0.55,0.53
Feb-15,0.63,0.60
Mar-15,0.64,0.73
Apr-15,0.73,0.95
May-15,0.87,1.13
Jun-15,0.62,0.57
Jul-15,0.57,0.54
Aug-15,0.55,0.55
Sep-15,0.59,0.61
Oct-15,0.63,0.61
Nov-15,0.68,0.58
Dec-15,0.61,0.66
Jan-16,0.63,0.67
Feb-16,0.67,0.69
Mar-16,0.71,0.76
Apr-16,,0.69
May-16,0.72,0.75
Jun-16,0.66,0.62
Jul-16,0.65,0.63
Aug-16,0.67,0.69
Sep-16,0.69,0.77
Oct-16,0.61,0.70
Nov-16,0.53,0.59
Dec-16,0.59,0.71
Jan-17,0.66,0.74
Feb-17,0.71,0.79
Mar-17,0.72,0.83
Apr-17,0.76,0.94
May-17,0.77,0.82
Jun-17,0.54,0.58
Jul-17,0.58,0.65
Aug-17,0.60,0.67
Sep-17,0.66,0.71
Oct-17,0.59,0.63
Nov-17,0.53,0.51
Dec-17,0.53,0.53
Jan-18,0.59,0.56
Feb-18,0.45,0.49
Mar-18,0.47,0.49
Apr-18,0.45,0.52
May-18,0.42,0.45
Jun-18,0.35,0.36
Jul-18,0.34,0.38
Aug-18,0.37,0.41
Sep-18,0.39,0.47
Oct-18,0.38,0.45
Nov-18,0.32,0.37
Dec-18,0.36,0.41
Jan-19,0.44,0.48
Feb-19,0.49,0.54
Mar-19,0.52,0.55
Apr-19,0.61,0.64
May-19,0.66,0.70
Jun-19,0.61,0.67
Jul-19,0.68,
Aug-19,0.52,0.70
Sep-19,0.65,0.79
Oct-19,0.57,0.76
Nov-19,0.63,0.68
Dec-19,0.55,0.57
Jan-20,0.51,0.72
Feb-20,0.66,0.84
Mar-20,0.74,0.87
Apr-20,0.79,0.92
May-20,0.74,0.85