Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","23650.172","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 persons","11642.81","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 persons","12007.349","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","20484.903","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","3554.371","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","24388.968","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 persons","12007.399","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 persons","12381.575","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","21076.726","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","3778.166","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","25167.257","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 persons","12394.688","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 persons","12772.573","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","21699.29","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 persons","4018.758","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","25980.552","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 persons","12800.059","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 persons","13180.488","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 persons","22348.557","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 persons","4276.263","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 persons","26821.297","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 persons","13216.406","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2004","2004","1000 persons","13604.894","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2004","2004","1000 persons","23017.847","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2004","2004","1000 persons","4550.589","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 persons","27684.585","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2005","2005","1000 persons","13639.036","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2005","2005","1000 persons","14045.554","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2005","2005","1000 persons","23702.764","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2005","2005","1000 persons","4841.176","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 persons","28571.475","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2006","2006","1000 persons","14067.537","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2006","2006","1000 persons","14503.938","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2006","2006","1000 persons","24401.496","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2006","2006","1000 persons","5149.166","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 persons","29486.338","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2007","2007","1000 persons","14505.221","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2007","2007","1000 persons","14981.114","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2007","2007","1000 persons","25115.006","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2007","2007","1000 persons","5475.481","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 persons","30431.736","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2008","2008","1000 persons","14955.71","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 persons","15476.024","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2008","2008","1000 persons","25842.671","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2008","2008","1000 persons","5821.225","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 persons","31411.096","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 persons","15424.12","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 persons","15986.976","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 persons","26585.117","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 persons","6186.778","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 persons","32428.167","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 persons","15914.819","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 persons","16513.345","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 persons","27341.361","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 persons","6573.772","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 persons","33476.772","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 persons","16425.384","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 persons","17051.388","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 persons","28110.753","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 persons","6982.895","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 persons","34558.704","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 persons","16956.092","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 persons","17602.608","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 persons","28891.6","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 persons","7415.196","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","35694.519","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 persons","17516.98","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 persons","18177.539","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 persons","29683.1","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 persons","7870.626","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 persons","36911.523","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 persons","18121.087","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 persons","18790.443","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 persons","30482.665","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 persons","8350.673","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","38225.453","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 persons","18775.708","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 persons","19449.739","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","31289.039","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","8855.831","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 persons","39649.166","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","19487.414","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","20161.759","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 persons","32101.656","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 persons","9386.309","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","41166.588","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","20248.172","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","20918.416","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 persons","32920.646","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 persons","9942.312","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","226","Uganda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","42729.036","X","International reliable sources",""
"OA","Annual population","226","Uganda","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","21032.905","X","International reliable sources",""
"OA","Annual population","226","Uganda","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","21696.127","X","International reliable sources",""
"OA","Annual population","226","Uganda","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","33745.48","X","International reliable sources",""
"OA","Annual population","226","Uganda","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","10525.083","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
