Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2010","2010","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2011","2011","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2012","2012","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2013","2013","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2014","2014","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2015","2015","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2016","2016","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2017","2017","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2010","2010","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2011","2011","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2012","2012","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2013","2013","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2014","2014","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2015","2015","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2016","2016","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2017","2017","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2010","2010","1000 ha","1803.92","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2011","2011","1000 ha","1816.44","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2012","2012","1000 ha","1815.73","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2013","2013","1000 ha","1842.5","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2014","2014","1000 ha","1809.5","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2015","2015","1000 ha","1811.7","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2016","2016","1000 ha","1811.7","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2017","2017","1000 ha","1811.7","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1803.92","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1816.44","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1815.73","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1842.5","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1809.5","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1811.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1811.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1811.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6620","Cropland","2010","2010","1000 ha","1373.92","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6620","Cropland","2011","2011","1000 ha","1391.44","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6620","Cropland","2012","2012","1000 ha","1400.73","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6620","Cropland","2013","2013","1000 ha","1432.5","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6620","Cropland","2014","2014","1000 ha","1399.5","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6620","Cropland","2015","2015","1000 ha","1401.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6620","Cropland","2016","2016","1000 ha","1401.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6620","Cropland","2017","2017","1000 ha","1401.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6621","Arable land","2010","2010","1000 ha","1123.92","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6621","Arable land","2011","2011","1000 ha","1141.44","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6621","Arable land","2012","2012","1000 ha","1150.73","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6621","Arable land","2013","2013","1000 ha","1182.5","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6621","Arable land","2014","2014","1000 ha","1149.5","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6621","Arable land","2015","2015","1000 ha","1151.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6621","Arable land","2016","2016","1000 ha","1151.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6621","Arable land","2017","2017","1000 ha","1151.7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6650","Land under permanent crops","2010","2010","1000 ha","250","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6650","Land under permanent crops","2011","2011","1000 ha","250","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6650","Land under permanent crops","2012","2012","1000 ha","250","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6650","Land under permanent crops","2013","2013","1000 ha","250","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6650","Land under permanent crops","2014","2014","1000 ha","250","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6650","Land under permanent crops","2015","2015","1000 ha","250","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6650","Land under permanent crops","2016","2016","1000 ha","250","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6650","Land under permanent crops","2017","2017","1000 ha","250","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6646","Forest land","2010","2010","1000 ha","446","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6646","Forest land","2011","2011","1000 ha","452.8","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6646","Forest land","2012","2012","1000 ha","459.6","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6646","Forest land","2013","2013","1000 ha","466.4","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6646","Forest land","2014","2014","1000 ha","473.2","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6646","Forest land","2015","2015","1000 ha","480","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6646","Forest land","2016","2016","1000 ha","480","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6646","Forest land","2017","2017","1000 ha","480","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6714","Primary Forest","2010","2010","1000 ha","7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6714","Primary Forest","2011","2011","1000 ha","7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6714","Primary Forest","2012","2012","1000 ha","7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6714","Primary Forest","2013","2013","1000 ha","7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6714","Primary Forest","2014","2014","1000 ha","7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6714","Primary Forest","2015","2015","1000 ha","7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6714","Primary Forest","2016","2016","1000 ha","7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6714","Primary Forest","2017","2017","1000 ha","7","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6717","Other naturally regenerated forest","2010","2010","1000 ha","55","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6717","Other naturally regenerated forest","2011","2011","1000 ha","55","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6717","Other naturally regenerated forest","2012","2012","1000 ha","55","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6717","Other naturally regenerated forest","2013","2013","1000 ha","55","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6717","Other naturally regenerated forest","2014","2014","1000 ha","55","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6717","Other naturally regenerated forest","2015","2015","1000 ha","55","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6717","Other naturally regenerated forest","2016","2016","1000 ha","55","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6717","Other naturally regenerated forest","2017","2017","1000 ha","55","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6716","Planted Forest","2010","2010","1000 ha","384","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6716","Planted Forest","2011","2011","1000 ha","390.8","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6716","Planted Forest","2012","2012","1000 ha","397.6","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6716","Planted Forest","2013","2013","1000 ha","404.4","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6716","Planted Forest","2014","2014","1000 ha","411.2","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6716","Planted Forest","2015","2015","1000 ha","418","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","184","Rwanda","5110","Area","6716","Planted Forest","2016","2016","1000 ha","418","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6716","Planted Forest","2017","2017","1000 ha","418","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6671","Agriculture area under organic agric.","2010","2010","1000 ha","3.6","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","184","Rwanda","5110","Area","6671","Agriculture area under organic agric.","2011","2011","1000 ha","3.7","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","184","Rwanda","5110","Area","6671","Agriculture area under organic agric.","2012","2012","1000 ha","3.7","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","184","Rwanda","5110","Area","6671","Agriculture area under organic agric.","2013","2013","1000 ha","3.7","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","184","Rwanda","5110","Area","6671","Agriculture area under organic agric.","2014","2014","1000 ha","2.25","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","184","Rwanda","5110","Area","6671","Agriculture area under organic agric.","2017","2017","1000 ha","1.28","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","184","Rwanda","5110","Area","6672","Agriculture area certified organic","2014","2014","1000 ha","2.2","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","184","Rwanda","5110","Area","6672","Agriculture area certified organic","2017","2017","1000 ha","1.27","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
